date	seq	http	valid_pdf	bytes	sha256	text_head
1912-02-23	8	200	yes	644970	a867c780a4ae6bf670bb6266f928477c2049c0392f96a55c3e64851f510ef01b	 OREGON CITY COURIER, FRIDAY, FEB 23, 1912 NEWS OF THE WEEK. PYTHONS AS PETS. A Great Blow. western financier was talking to n A I Paid your taxes? Clyde Mount , Dentist, second Tho Man Liked Them, but They Were Wavhlngt
1912-02-23	9	404	no	9443	-	-
1912-02-23	10	404	no	9443	-	-
1912-02-23	11	404	no	9443	-	-
1912-02-23	12	404	no	9443	-	-
1912-05-03	1	200	yes	702732	dd22ee73833be85b5084bd29163ce4a1f61d9b4b1a9bf4cfab73a79edd39b05e	 TY CGMffi Towns are not Topsies. Thoy OREGOM An ad. In the Courier goes Into don't Just happen. Live men have got to make them. .And live men ean donble the size of Oregon City 1 the homes of the people whom you must re
1912-05-03	2	200	yes	722705	cccc7ffbc220cbca59dfbbef426b830b52fc41afb80d224cf72477d73dcc4cde	 2 OREGON CITY COURIER, FRIDAY, MAY w 1912. help to make socialists. J. H. Tracy 10.00 Mrs. M. Bishop. Columbus, ANSWER FOR KELNHOFER. common wnat no individual can cost. do. 1COUNTY COURT J. Duus 10.00 Kan., suffered fr
1912-05-03	3	200	yes	703747	de5d31bd54d37fc6fa6ce22bb00f849244b6fda0dc58918ae8feab70d0cae5a0	 OREGON CITY COURIER, FRIDAY, MAYB 1912 Only Two Know. MOUNTAIN VIEW. MAN'S RESPONSIBILITY. TWENTY YEARS AGO. If the weighing and testing of milk "Since the he-on- es do so badly,' did not accomplish the very desirable s
1912-05-03	4	200	yes	703761	e487949e88a8f4dc67b53fc93a39278d23944f2e6cfbe0bd0c772f9078a9dfae	 4 OREGON CITY COURIER, FRIDAY, MAY 1912. LESS MILLIONAIRS "PROGRESSIVES" OREGON CITY COURIER The United States senate has Editor, Courier: I don't BEETLE MONOPLANE. done might little in the past few Published Fridays fr
1912-05-03	5	200	yes	734941	c426cb46d684078218f64f3653ab65c8b8fdbd1485e70a1f004873653e4551a0	 OREGON CITY COURIER, FRIDAY, ' MAYf 1912 3 R. W. Oldstadt of Sherwood, Mrs. Frank Kendall of Portland, WILL NOT 8ELL OUT. was an Oregon City visitor Mon- spent Saturday in this city, visit- TRIKK THESE OVER day. ing her
1912-05-03	6	200	yes	670591	41c7b61835243ea64411019cd586300121cbb65ccb979587a8d0fa37f2e25a18	 OREGON CITY COURIER, FRIDAV, MAY W 1912 Not Id many a year have eggs reach ed as high a price during the winter months as has been the case the past two or three weeks over most of the country. From 42 to 50 cents per d
1912-05-03	7	200	yes	799304	8c5b7a98906a64508295d728c35968e81ca2cec1ce408191d733fe89e6e036e0	 OREGON CITY COURIER, FRIDAY, MAY, 1912 Sheriff's Sale on Exeoutlon. 8UMMON8. 8HERIFF-- SALE. of April, 1912, and the last pub- SUMMONS 8UMMON8 8UMMON8. lication will be the 31st day of In the Circuit Court of the In the
1912-05-03	8	200	yes	729019	8542b01c19e56301e6b5185c891c95f36f13ec632652b7e5f810469f39784a9b	 OREGON CITY COURIER, FRIDAV, MAY, 1912 TEST OR "WHITEWASH?" LENA DUTHIE CONCERT. Great Salmon Catohes. Was It Justice op Fish that Coun- An Evening inScotland and Ireland menced Monday noon, and some The open season for
1912-05-03	9	404	no	9443	-	-
1912-05-03	10	404	no	9443	-	-
1912-05-03	11	404	no	9443	-	-
1912-05-03	12	404	no	9443	-	-
1912-05-17	1	200	yes	659087	4a9eb94b1ac26e74448bd415d4c2696e0b7ce2e5760b11223311c69ba209f52e	 You can't talk too muoh if you talk right. Talk and faotories have built up many a city, and will build many another. 29th YEAR. OKISGOM CITY OREGON CITY. OREGON. coram! FRIDAY. MAY 17 1912. ..If you don't believe in Or
1912-05-17	2	200	yes	672595	42681d3bbe9b0c8e37c25afaa6401ba5ffafbcf11438c06cde79663a58e23136	 OREGON CITY COURIER, FRIDAY, MAY 10, 1912 EAQLE CREEK. CAN BY. residence. The boys are doing and has a host of friends win again after having completely're-gaine- d MANY MATTERS TO Mrs. Bertha Douglass, accom- fine and 
1912-05-17	3	200	yes	665194	440dafea624e12f5f9c98b15413d6afc3e7f7281d6d30036d02bee6c2640af3c	 OREGON CITY COURIER, FRIDAY, MAY 17. 1912. 3 this to be right? Bo right first. SONG OF THE MILL GIRL. ROBERT CUBE L of God or man. Therefore are al Figure on money next. . By all so anarchists's. Mr. Huntley means think
1912-05-17	4	200	yes	686326	cd05885c54d0d7c3472c963a8fe50868393797382b797231cd6216ee1e1edac2	 V OREGON CITY COURIER, FRIDAY, MAY 17. 1912. WET FIREWORKS. BIGGER THAN BILL. IN THE AIR. OREGON CITY COURIER There mm is a silence that can al- A president of a country is a big State after state, whose laws most be fe
1912-05-17	5	200	yes	709838	48366e6021432dfaf6e9f8773e35e7ecc25da3a91fec7d666d0e4700d98fda07	 OREGON CITY COURIER, FRIDAY, MAY 17, 1912 For Shoo Repairing go to C. CLACKAMAS WILL GET IN. Yes, Take This Watcb! ON LITTLE PAYMENTS Juhnke. We give S. & H. green trading Farmers and Auto Owners Asked staflips with sho
1912-05-17	6	200	yes	646437	4139295b5ace89bcff55009b306c13fe186b7cbd4509d5cd0be97d0db70418fe	 Oregon City courier, friday, may 17, 1912 George Gill J. M. Cross .' 16.00 . 3.00 W. E. Meyers 8.00 Beall & Company 56.00 District No. 36 The Leaks. COUNTY COURT. J. T. Hlndle 21.00 B. F. Everless . 21.50 L. F. Roley 14
1912-05-17	7	200	yes	834602	ab72ec91f397dba41b012a9b13578bd3bf06dfbf5de84d4229373bdd8e4b0c37	 OREGON CITY COURIER, FRIDAV, MAY 17, 1912 7 Sheriff's 8ale on Exeoution. SUMMONS. SHERIFF'S SALE. of April, 1912, and the last pub NOTICE. CITATION SUMMONS. lication will be the 31st day of In the County Court of the St
1912-05-17	8	200	yes	677980	eb235f29a8246a6fa1831d3ae09f7fd15fcaa62125e9c99acc79b28e51cb6bfa	 OREGON CITY COURIER, FRIDAY, MAY 17. 1912. LOCAL AND PERSONAL. FIRWOOD sranu, in auintlon to substantial cam- Mr. and Mrs.. J. A. Shaw of OAYK 3 FOB spent Sunday and Monday CHAMP Miss Grace Rierson of CLARK paign contri
1912-05-17	9	404	no	9443	-	-
1912-05-17	10	404	no	9443	-	-
1912-05-17	11	404	no	9443	-	-
1912-05-17	12	404	no	9443	-	-
1912-05-24	1	200	yes	702416	7507f99fbdd68bd2057509c0f48870a25987d339e7e05e33a09ee8d4354ef041	 You can't talk too much If you talk right. Talk and factories have built up many a city, and will build many another. OREGON CITY COUEffiM ..If you don't believe In Oregon get out and City why don't you make room for th
1912-05-24	2	200	yes	662526	65a9638c6cfc1f5a9e3f9ec58145bbc1822eb4eb4790456e2a12bb73f8efa2c9	 2 OREGON CITY COURIER, FRIDAY, MAY 24. 1912. V I DON T THE SINGLE INT 1 people to protect any and all hu-l- y man creatures from any harm lectual capacity. terests. On the other hand it is jaehievmerit. a social ooogauo
1912-05-24	3	200	yes	723108	662c18bdea909eb5f207b4f8397d1bf39ba00801c6e59cd6a0e92dbb0c11f688	 OREGON CITY COURIER, FRIDAY, MAY 24, 1912 FUTURE IS BRIGHT. COLTON. GLAb TIDINGS THE RACE. sion, holding high his head, LUESBSGQ As 'round and 'round and 'round John Davies living near Mar- The long looked for rain is J
1912-05-24	4	200	yes	702255	c2a8a66cacfae0dfc7e5921b346da6723551b4fe02a497fbbb6a1199c7ddc356	 OREGON CITY COURIER, FRIDAY, MAY 24. 1912. SIMPLY PROVE MATTER. NOT A FAIR TEST. LIBELING JESUS CHRIST. OREGON CITY COURIER I don't care whether land im- Now the government proposes I note that just before he died Idle 
1912-05-24	5	200	yes	689928	1c9440ef319d9487109124db1b258491cfd1b86b7a1e434a335e9d3b308d386e	 OREGON CITY COURIER, FRIDAY, MAY 24, 1912 The rose festival, Juno 8, is go- For Shoe Repairing go to C. MATTERS OF SOCIAL INTEREST ing to be some doings this year. Juhnke. Born, May 17th to Mr. and For Shoe Repairing go
1912-05-24	6	200	yes	626876	8858a7f7706e2d79a945c3f85bb622287ab7bb178adcbaaf1d3298cf81522c71	 OREGON CITY COURIER, FRIDAY, MAY 24. 1912. Wm. Shindler 7.60 D. M Spatz 6.00 Chas. Krebs 23.15 Treasurer Luigi Vaerette 11.00 Carrlck Caseday 3.00 COUNTY COURT W. Dutcher 63.00 J. A. Tufts 52.50 Alice Dwiggins $ 2.00 50
1912-05-24	7	200	yes	787175	0144f1da24de1e06337b0b94d978b62f856ae48b0f0dfd7f5cd5066caba48994	 OREGON CITY COURIER, FRIDAY, MAY 24, 1912 7 Sheriff's 8al on Exooutlon. SUMMONS. of April, 1912, and the last pub- - CITATION SHERIFF'S SALE. lication will be the 31st day of; In the County Court of the State NOTICE. fr
1912-05-24	8	200	yes	711768	dedb8d91035a4ae04d212b74555b016dfb51f0dd5dde12c624721f0833ffb4f4	 u OREGON CITY COURIER, FRIDAJ?,. MAY 24, 1912 ROSE FESTIVAL NOTICE, FIRWOOD. LOCAL AND PERSONAL. SERIOUS FIRE AT MOLALLA. About 85 persons attended the Mrs. Adalyn Davis, local for Spirella corsets, 911 cor-setie- re Co
1912-05-24	9	404	no	9443	-	-
1912-05-24	10	404	no	9443	-	-
1912-05-24	11	404	no	9443	-	-
1912-05-24	12	404	no	9443	-	-
1912-08-02	1	200	yes	618594	c6ab615d888721307bef33fefd06c7d0332c20cb5f3199f8ad3cbfb87def95f9	 "A MILE OF MILLS" and more coming is what makes Oregon City the best on the coast outside cf Portland. OffiGOM CITY CQUEffiE Oregon City ships 300 tons of goods every day and receives 700 tons. That's why Its the best c
1912-08-02	2	200	yes	669465	e08786ff5289ec0051035e8902fc6708071e0069ece61b616262019224abfe1a	 OREGON CITY COURIER, FRIDAY, AUGUST 2, 1012 bit of very interesting informa BARNUM & BAILEY CIRCUS. Over 325 counties, towns and mu away China. nicipalities m New South ales What are yon going to do T HOUGHTS Oil tion i
1912-08-02	3	200	yes	628615	9958f2719bb6f7e42c61172057d325cc46c0fab17caabcb5c7b9af55ccdef507	 OREGON CITY COURIER, JFRIDAY AUGUST 2, 1912. 3 Men, M Hp aid. .says To) BIG CLEAN-U- P SALE END-OF-SEAS- ON Tlilirc.il HI 3ua v Ano' l Starts the final of our Sale. Now or never, every Man, Young tig. 5 1. Man or Boy ma
1912-08-02	4	200	yes	702669	740dac4f523e67559116cad304508fbd3fb0f8d8131f36b311058ba877b494f0	 OREGON CITY COURIER, FRIDA, AUG. 2, 1912 5 OREGON GITY COURIER DON'T We have always with inex- MOAN ACT. DISH WATER. "Some of the existing import ARE YOU "BIG" OR "LITTLE?" (W. O. Eggleston.). THRUST of a propeller. WAN
1912-08-02	5	200	yes	629083	3a091a3c2149988fe2f0321c0ac9877ee4d9a8b127f2d1d5f3c6d19863b00c90	 OREGON CITY COURIER, FRIDAY, AUG. 2, 1912 Yes, Take This Watch Mrs. William Hanifin, of Wash., is visiting Herbert Hanifin, and family in. this city. a, Miss Bess Warner will leave ON LITTLE PAYMENTS Saturday for Newpor
1912-08-02	6	200	yes	675694	c7a51df9a49e7fdd79a24aae3acfce4a06beb0d0fec8d0b20497e53efdc635fd	 OREGON CITY COURIER, FRIDAY, AUGUST "2, 1912 THE MOST INIVALUE The Ladies cause I neeaea some nut uu enable me to keep the family social 10W TO MAKE HOW TO The Ladies' Home Why She position. After we got rich I needed H
1912-08-02	7	200	yes	735927	e45b94e164dbac419ba341f59115a34cdaae14afe48c331866ea92bd99947cd9	 OREGON CITY COURIER, FRIDAY, AUG. 2, 1912 Summons Summous Notice to Creditors SUMMONS. F. W. Crothers 56.00 C. Llmbocker ,.. 8.00 la Iho Circuit Court of the Stale of In the Circuit Court of the Slate Oregon for Clackam
1912-08-02	8	200	yes	761472	20a11996472c6072f2d3d63ed216e43084aa6e63bc61de57b7c9e54ec41970cc	 8 OREGON CITY COURIER, FRIDAY, AUGUST 2, 11)12 NEWS OF THE CITY. SHIVELY'8 OPERA HOUSE PULP LUMBER FORMULA. Rodney and Virginia Keating Prof Loralno and Vaudeville Com- WOMEN'S PART of Portland are in this city visit- i
1912-08-02	9	404	no	9443	-	-
1912-08-02	10	404	no	9443	-	-
1912-08-02	11	404	no	9443	-	-
1912-08-02	12	404	no	9443	-	-
1912-12-13	1	200	yes	708624	00432ad0fb1a2cd10fda849af614c087ba8b110128ce1393be4f98a22999982e	 ..The Courier has an average OR EGOH CITY n fVi7 TTCJ) tntf "O No voting oontests, premiums worn circulation during the year 1912 or over 2,000 weekly. Its ad- vertising columns are gold. 30th YEAR. OREGON CITY, OREGON.
1912-12-13	2	200	yes	715967	bc1169597dfa115b1c673ececc9aa628f48057a64ea9a1ee93a0591dcdb8d53b	 OREGON CITYCOURIER, FRIDAY, DEC. 13 1912 ance" pretty thouroughly and of- LOGAN ' THE POWER OF THE TRUSTS. CANBY THE MARKET REPORTS. Teachers' Examinations M MATTER ten wondered if any of it wag out of plumb, but having
1912-12-13	3	200	yes	549803	41a372002ae19c72783511bad753ae452a59cafb31656858371f8745e2f68b64	 OREGON CITY COURIER, FRIDaV DEC. 13 1912. Otegon City's leading stores will give Double Gteen Trading Stamps each Wednesday. To facilitate the filling of yotir stamp books before Christmas, the firms whose advertisement
1912-12-13	4	200	yes	736635	f8ce7c947cf7417103f0b2f0d159bdfa28c8f8c45df043be8368a45b82cec856	 OREGON CITY COWER, FkfpA, DEC. 13. 1912 and some smart lawyer sees he Ihe decorations or the rooms PAY CASH. to patronize ttic home store. They are OREGON CITY COURIER can make a few dollars and get were simple but very
1912-12-13	5	200	yes	667616	41d31e7c0d4ce498cd77174f2ea2e61be8912f0271e5110c2fd58e4542ab70c9	 OREGON CITY COURIER, FRIDAY DEC. 13 1912. i nnnnn n Ir r riy i i i n nnn Annmnri: i u I i a i ! i ,xy n m ' imj n n fir i 7 uu 0 ULiL-- a u u W n jj v& yuuuiuy: LIU n It Is Not Necessary to Spend a Hatful of the . .TV 4
1912-12-13	6	200	yes	632604	302466807595a2cd4aee620670ab1a8aa02fbf8ef81c7d5f1b279274556b67fb	 v. J3RKGON CITYCOURIfiR. FRIDAY, DEC. IB - I ! I ! t FUNDAMENTALS T A MODERN THE TOWN NEWSPAPER, THE PROBLEM OF I per.StandIf there by your towu newspa- OF TREESURGERY HOUSING f anything in your Is ; TOWN town wortn lam
1912-12-13	7	200	yes	736240	a90c8d3b5659d241d8cc680273de68a6043a247df9d07730410c331c4c0dd71f	 OREGON CITY COURIER, FflEPAY, DEC 13 1912 WILLIAM LILY GIVES HE GOT THE PICTURE. Cured of Liver Complaint A Timber Deal. OREGON CITY. A SHOT-GU- N PARTY ALL THINGS ARE POSSIBLE. Mark ix, Deo. 1,14-2- 9 Famous Stage Beau
1912-12-13	8	200	yes	645431	d161c68375192a2b442f3d85c047549164be9448fb395ff4126ea2e91532e2cc	 Books Standard Patterns 10 Cents and 15 Cents Fancy Linens, Etc. Books for the children at 5c, 18c, 25c and Popular Books for boys and girls, each 9 fir 25c line u Store - Linen Towels per pair Fancy Linen Towels, each 
1912-12-13	9	200	yes	778371	1e6d4de5861c07d2ddce641d0e04e60ba75944ed21fbaf4c401632a7827bbade	 OREGON CITY COURIER, FRIDAY, DEC. 13, 1912 9 Notice of Levy of Special Road Notice of Final Settlement Summons- - SUMMONS. Summons Summons. Joo J. Thornton . ... ... 2.20 Tax. In tho County Court for thn State In the Ju
1912-12-13	10	200	yes	486770	1c16a65f5b82aa66a445b9424ee940e98ee7824b29220a29dcfe66a9d1dd4e69	vlO - OREGON CITY COURIER, FRIDAY, DEC 13 1912 o iil tic T7 r (TO n J. LEVITT, 7th and Main Streets OREGON CITY, OREGON A .LEVITT, Oregon City's Leading Clothier Is the Greatest Sensation of AH Merchandising Events Since
1912-12-13	11	404	no	9443	-	-
1912-12-13	12	404	no	9443	-	-
